Station Name,Ticket Zone,Latitude,Longitude
Acton Town,3,51.502817347,-00.280214656
Aldgate,1,51.514342817,-00.075600611
Aldgate East,1,51.515300715,-00.072274025
Alperton,4,51.540757238,-00.299447373
Amersham,9,51.674200078,-00.607416256
Angel,1,51.532570565,-00.105772295
Archway,2,51.565495779,-00.135099708
Arnos Grove,4,51.616398898,-00.133501198
Arsenal,2,51.558561500,-00.105746916
Baker Street,1,51.523131159,-00.156881847
Balham,3,51.443404055,-00.153182996
Bank,1,51.513373502,-00.088906725
Barbican,1,51.520213415,-00.097698591
Barking,4,51.539520555,00.080855743
Barkingside,4,51.585855444,00.088509189
Barons Court,2,51.490227393,-00.213576608
Bayswater,1,51.512299747,-00.188009447
Becontree,5,51.540363533,00.127401050
Belsize Park,2,51.550493839,-00.164212238
Bermondsey,2,51.498024522,-00.063635613
Bethnal Green,2,51.527267549,-00.055423847
Blackfriars,1,51.511562507,-00.103596123
Blackhorse Road,3,51.587012708,-00.040984391
Bond Street,1,51.513879061,-00.149315708
Borough,1,51.501270700,-00.093692651
Boston Manor,4,51.495765550,-00.324729543
Bounds Green,3,51.607152312,-00.124210461
Bow Road,2,51.526866904,-00.024809606
Brent Cross,3,51.576860881,-00.213428926
Brixton,2,51.462653263,-00.114611795
Bromley-By-Bow,2,51.524842766,-00.011657480
Buckhurst Hill,5,51.626575799,00.046733076
Burnt Oak,4,51.602738309,-00.264170829
Caledonian Road,2,51.548491331,-00.118292408
Camden Town,2,51.539468601,-00.142709548
Canada Water,2,51.497965204,-00.049695892
Canary Wharf,2,51.503623130,-00.019426407
Canning Town,3,51.513908219,00.008181999
Cannon Street,1,51.511505842,-00.090681195
Canons Park,5,51.607820681,-00.294618585
Chalfont & Latimer,8,51.668076304,-00.560477729
Chalk Farm,2,51.544151895,-00.153701577
Chancery Lane,1,51.518194371,-00.111660401
Charing Cross,1,51.508661338,-00.124733426
Chesham,9,51.705072763,-00.611158209
Chigwell,4,51.617931677,00.074523461
Chiswick Park,3,51.494371103,-00.267715593
Chorleywood,7,51.654266956,-00.518312173
Clapham Common,2,51.461803357,-00.138295129
Clapham North,2,51.464923475,-00.129515616
Clapham South,2,51.452674157,-00.147959970
Cockfosters,5,51.651744780,-00.149604351
Colindale,4,51.595351419,-00.250108975
Colliers Wood,3,51.418149511,-00.177678808
Covent Garden,1,51.512979259,-00.124146712
Croxley,7,51.647103901,-00.441669863
Dagenham East,5,51.544187099,00.165864184
Dagenham Heathway,5,51.541701213,00.147674142
Debden,6,51.645494269,00.083832469
Dollis Hill,3,51.551969462,-00.238775764
Ealing Broadway,3,51.514979099,-00.301471777
Ealing Common,3,51.510196802,-00.288221583
Earl's Court,1,51.491876177,-00.193526047
East Acton,2,51.516648287,-00.247481639
East Finchley,3,51.587335007,-00.164725648
East Ham,3,51.538996697,00.051467145
East Putney,2,51.458878826,-00.210975744
Eastcote,5,51.576553216,-00.396806460
Edgware,5,51.613684847,-00.274946709
Edgware Road,1,51.520250118,-00.170106720
Elephant & Castle,1,51.495847724,-00.100711857
Elm Park,6,51.549872773,00.199159843
Embankment,1,51.507310119,-00.122340604
Epping,6,51.693689859,00.113845981
Euston,1,51.528665946,-00.133265016
Euston Square,1,51.525626629,-00.135824263
Fairlop,4,51.595747808,00.090921024
Farringdon,1,51.520517640,-00.105050320
Finchley Central,4,51.601039042,-00.192428710
Finchley Road,2,51.547132085,-00.180473820
Finsbury Park,2,51.564470950,-00.106495674
Fulham Broadway,2,51.480598681,-00.194937978
Gants Hill,4,51.576557097,00.066103646
Gloucester Road,1,51.494312745,-00.182960687
Golders Green,3,51.572285858,-00.193965660
Goldhawk Road,2,51.502026467,-00.226720989
Goodge Street,1,51.520499085,-00.134642741
Grange Hill,4,51.613409710,00.092132915
Great Portland Street,1,51.523789348,-00.143930250
Green Park,1,51.506918921,-00.142899998
Greenford,4,51.542361624,-00.346412020
Gunnersbury,3,51.491867355,-00.275147144
Hainault,4,51.603792541,00.093105998
Hammersmith,2,51.492639704,-00.222367633
Hampstead,2,51.556754839,-00.178202920
Hanger Lane,3,51.530072876,-00.292973103
Harlesden,3,51.536255187,-00.257476566
Harrow & Wealdstone,5,51.592263678,-00.335193509
Harrow-on-the-Hill,5,51.579392732,-00.336973212
Hatton Cross,5,51.466685423,-00.423356896
"Heathrow Terminals 1, 2 & 3",6,51.458624169,-00.446006279
Heathrow Terminal 4,6,51.471290175,-00.452385526
Heathrow Terminal 5,6,51.471593893,-00.487913971
Hendon Central,3,51.583358035,-00.226465843
High Barnet,5,51.650657954,-00.194737478
High Street Kensington,1,51.500745724,-00.192480691
Highbury & Islington,2,51.546300742,-00.103948483
Highgate,3,51.577658850,-00.146618543
Hillingdon,6,51.553780278,-00.449881290
Holborn,1,51.517506300,-00.119995446
Holland Park,2,51.507404594,-00.205705089
Holloway Road,2,51.552821168,-00.112913541
Hornchurch,6,51.554072870,00.218999452
Hounslow Central,4,51.471152208,-00.366881823
Hounslow East,4,51.473241130,-00.356648626
Hounslow West,5,51.473106027,-00.385684911
Hyde Park Corner,1,51.502828707,-00.152730468
Ickenham,6,51.562046398,-00.441975598
Kennington,2,51.488193706,-00.105475190
Kensal Green,2,51.530526498,-00.224683208
Kensington (Olympia),1,51.497883187,-00.210355325
Kentish Town,2,51.550367969,-00.140452418
Kenton,4,51.581846365,-00.317125399
Kew Gardens,3,51.477097778,-00.285212918
Kilburn,2,51.546943685,-00.204612104
Kilburn Park,2,51.535139924,-00.193943923
King's Cross,1,51.530467020,-00.123838556
Kingsbury,4,51.584818808,-00.278758866
Knightsbridge,1,51.501619530,-00.160476448
Ladbroke Grove,2,51.517255223,-00.210833786
Lambeth North,1,51.499131086,-00.111745717
Lancaster Gate,1,51.511894768,-00.175400817
Latimer Road,2,51.513609630,-00.217746133
Leicester Square,1,51.511290786,-00.128222550
Leyton,3,51.556503397,-00.005618740
Leytonstone,3,51.568254279,00.008223901
Liverpool Street,1,51.517421127,-00.082958757
London Bridge,1,51.505572080,-00.086907553
Loughton,6,51.641570622,00.055302636
Maida Vale,2,51.529828870,-00.185609035
Manor House,2,51.570821904,-00.095699338
Mansion House,1,51.512094100,-00.094171678
Marble Arch,1,51.513610410,-00.158415035
Marylebone,1,51.522296752,-00.163080891
Mile End,2,51.525162272,-00.033400538
Mill Hill East,4,51.608322331,-00.209873024
Monument,1,51.510634491,-00.086160710
Moor Park,6,51.629790112,-00.432617492
Moorgate,1,51.518434153,-00.088988842
Morden,4,51.402413117,-00.194767862
Mornington Crescent,2,51.534278448,-00.138821617
Neasden,3,51.554031104,-00.249760238
Newbury Park,4,51.575639509,00.090329654
North Acton,2,51.523436048,-00.259700310
North Ealing,3,51.517624754,-00.288970664
North Greenwich,2,51.500253938,00.003617380
North Harrow,5,51.584853438,-00.362187319
North Wembley,4,51.562548968,-00.304116057
Northfields,3,51.499341967,-00.314126947
Northolt,5,51.548215120,-00.368420431
Northwick Park,4,51.578651178,-00.318174443
Northwood,6,51.611217965,-00.423813419
Northwood Hills,6,51.600549275,-00.409262774
Notting Hill Gate,1,51.509135067,-00.196517879
Oakwood,5,51.647643252,-00.131828432
Old Street,1,51.525673036,-00.087540958
Osterley,4,51.481001483,-00.351955627
Oval,2,51.482175453,-00.112872504
Oxford Circus,1,51.515198326,-00.141753096
Paddington,1,51.515378873,-00.175365294
Park Royal,3,51.526964839,-00.284197489
Parsons Green,2,51.475172662,-00.201208748
Perivale,4,51.536659128,-00.323817282
Piccadilly Circus,1,51.510101282,-00.133994054
Pimlico,1,51.489267016,-00.133715860
Pinner,5,51.592920216,-00.380877555
Plaistow,3,51.531286207,00.017807961
Preston Road,4,51.572097704,-00.295226402
Putney Bridge,2,51.467978221,-00.208948328
Queen's Park,2,51.534167072,-00.204675391
Queensbury,4,51.594408067,-00.285756688
Queensway,1,51.510453171,-00.187402539
Ravenscourt Park,2,51.494211265,-00.236225664
Rayners Lane,5,51.575039739,-00.370959601
Redbridge,4,51.576368336,00.045413423
Regent's Park,1,51.523573745,-00.146845189
Richmond,4,51.463232128,-00.301717924
Rickmansworth,7,51.640327496,-00.473664594
Roding Valley,4,51.617179945,00.043856090
Royal Oak,2,51.519090535,-00.188212572
Ruislip,6,51.571511893,-00.421416905
Ruislip Gardens,5,51.560651409,-00.410993312
Ruislip Manor,6,51.573246766,-00.412305976
Russell Square,1,51.522981488,-00.124290511
Seven Sisters,3,51.583414085,-00.072478320
Shepherd's Bush,2,51.504520582,-00.218739321
Shepherd's Bush Market,2,51.505626762,-00.226281420
Sloane Square,1,51.492361608,-00.156471428
Snaresbrook,4,51.580893551,00.021492179
South Ealing,3,51.501439579,-00.306982297
South Harrow,5,51.564742755,-00.352171569
South Kensington,1,51.494072248,-00.173903021
South Kenton,4,51.570231405,-00.308554798
South Ruislip,5,51.556575808,-00.398609938
South Wimbledon,3,51.415358688,-00.191946864
South Woodford,4,51.591793443,00.027321779
Southfields,3,51.445005910,-00.206514155
Southgate,4,51.632375610,-00.127741029
Southwark,1,51.503912041,-00.105079612
St. James's Park,1,51.499417081,-00.134167037
St. John's Wood,2,51.534629498,-00.174155402
St. Paul's,1,51.514875732,-00.097559304
Stamford Brook,2,51.494865328,-00.245421899
Stanmore,5,51.619673212,-00.303078406
Stepney Green,2,51.521979324,-00.046455251
Stockwell,2,51.472241139,-00.122895213
Stonebridge Park,3,51.543989547,-00.275371113
Stratford,3,51.541377658,-00.003185389
Sudbury Hill,4,51.557060075,-00.336185424
Sudbury Town,4,51.550846283,-00.315443563
Swiss Cottage,2,51.543382980,-00.174736507
Temple,1,51.511041845,-00.113692896
Theydon Bois,6,51.671773226,00.103118143
Tooting Bec,3,51.435836121,-00.159677894
Tooting Broadway,3,51.427516012,-00.167954323
Tottenham Court Road,1,51.516276082,-00.130856050
Tottenham Hale,3,51.588112841,-00.060276117
Totteridge,4,51.630265127,-00.179247175
Tower Hill,1,51.510139104,-00.076335576
Tufnell Park,2,51.556736692,-00.137907511
Turnham Green,2,51.495185091,-00.254500038
Turnpike Lane,3,51.590364168,-00.102786628
Upminster,6,51.558959400,00.251068748
Upminster Bridge,6,51.558822332,00.235751225
Upney,4,51.538404215,00.101558788
Upton Park,3,51.535300668,00.035269676
Uxbridge,6,51.546558503,-00.478086633
Vauxhall,1,51.485802837,-00.123728675
Victoria,1,51.496415738,-00.143828518
Walthamstow Central,3,51.583022656,-00.019910230
Wanstead,4,51.575586046,00.028739769
Warren Street,1,51.524582490,-00.138254185
Warwick Avenue,2,51.523345437,-00.183649798
Waterloo,1,51.503576438,-00.114051784
Watford,7,51.657472766,-00.417233505
Wembley Central,4,51.552393189,-00.296820887
Wembley Park,4,51.563321392,-00.279220664
West Acton,3,51.517928534,-00.280959813
West Brompton,2,51.487326810,-00.195513643
West Finchley,4,51.609549070,-00.188445598
West Ham,3,51.528257231,00.005040569
West Hampstead,2,51.546770903,-00.190729830
West Harrow,5,51.579833961,-00.352886823
West Kensington,2,51.490565630,-00.206454516
West Ruislip,6,51.569591648,-00.437840503
Westbourne Park,2,51.520991060,-00.200858000
Westminster,1,51.501156967,-00.124793827
White City,2,51.512044211,-00.224221914
Whitechapel,2,51.519529261,-00.059968492
Willesden Green,2,51.549376909,-00.222378339
Willesden Junction,2,51.532259837,-00.244259053
Wimbledon,3,51.421464866,-00.206353858
Wimbledon Park,3,51.434538960,-00.199572031
Wood Green,3,51.597536265,-00.109617731
Wood Lane,2,51.509958279,-00.224245427
Woodford,4,51.607093559,00.034027185
Woodside Park,4,51.617872781,-00.185394277